CLK|RST| down | load|loadIn | currCount | isZero |
---|---|------|-----|-------|-----------|--------|
 0 | 1 |   x  |  x  |    x |      x   |    x   |
 1 | 0 |   1  |  0  |   15 |      0   |    1   |
 0 | 0 |   1  |  0  |   15 |      0   |    1   |
 1 | 0 |   1  |  0  |   15 |     15   |    0   |
 0 | 0 |   1  |  0  |   15 |     15   |    0   |
 1 | 0 |   1  |  0  |   15 |     14   |    0   |
 0 | 0 |   1  |  0  |   15 |     14   |    0   |
 1 | 0 |   1  |  0  |   15 |     13   |    0   |
 0 | 0 |   1  |  0  |   15 |     13   |    0   |
 1 | 0 |   1  |  0  |   15 |     12   |    0   |
 0 | 0 |   1  |  0  |   15 |     12   |    0   |
 1 | 0 |   1  |  0  |   15 |     11   |    0   |
